Name,Area,Population,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Health expenditures,HIV/AIDS - adult prevalence rate,HIV/AIDS - people living with HIV/AIDS,HIV/AIDS - deaths,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Exchange Rate,Currency,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor Force,Unemployment rate,Distribution of family income,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Exports - partners,Exports - commodities,Imports,Imports - partners,Imports - commodities,Reserves of foreign exchange and gold,External debt,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Military expenditures,Airports,Railways,Roadways,Waterways,Merchant marine,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Telephones - fixed lines,Telephones - mobile cellular,Internet users
Tajikistan,"144,100 sq km","8,604,882",1.58%,"22.8 births/1,000 population","5.9 deaths/1,000 population","-1.1 migrant(s)/1,000 population","32 deaths/100,000 live births","30.8 deaths/1,000 live births",68.4 years,2.59 children born/woman,6.9% of GDP,0.30%,"15,000",-,14.20%,13.30%,5.2% of GDP,16.70%,8.764,Tajikistani somoni (TJS) per US dollar -,$28.43 billion,7.10%,"$3,200 ",24.4% of GDP,1%,2.295 million,2.40%,32.6,31.8% (of GDP),-1.5% (of GDP),50.4% of GDP,7.30%,16%,30%,$1.389 billion,$1.389 billion,$1.06 billion,-,-$35 million,$873.1 million,"Turkey 27.5%, China 17.7%, Russia 13.4%, Switzerland 12.5%, Algeria 8.2%, Iran 7.1%(2017)","aluminum, electricity, cotton, fruits, vegetable oil, textiles",$2.39 billion,"Russia 38%, Kazakhstan 19%, China 8.7%, Iran 4.4%(2017)","petroleum products, aluminum oxide, machinery and equipment, foodstuffs",$1.292 billion,$5.75 billion,$2.272 billion,$16.3 billion,1.19% of GDP,24,680 km,"27,767 km",200 km,-,17.03 billion kWh,12.96 billion kWh,1.4 billion kWh,103 million kWh,5.508 million kW,6% of total installed capacity,0% of total installed capacity,94% of total installed capacity,0% of total installed capacity,180 bbl/day,0 bbl/day,0 bbl/day,12 million bbl,172 bbl/day,"24,000 bbl/day",0 bbl/day,"22,460 bbl/day",19.82 million cu m,19.82 million cu m,0 cu m,0 cu m,5.663 billion cu m,"468,000",9.4 million,"1,705,345"
Turks and Caicos Islands,948 sq km,"53,701",2.09%,"14.9 births/1,000 population","3.3 deaths/1,000 population","9.5 migrant(s)/1,000 population",-,"9.8 deaths/1,000 live births",80.1 years,1.7 children born/woman,-,-,-,-,-,-,3.3% of GDP,-,-,-,$632 million,11.20%,"$29,100 ",-,3%,"4,848",10%,-,-,-,-,4%,-,-,-,-,-,-,-,$24.77 million,-,"lobster, dried and fresh conch, conch shells",$591.3 million,-,"food and beverages, tobacco, clothing, manufactures, construction materials",-,-,-,-,-,8,-,121 km,-,4,235 million kWh,218.6 million kWh,0 kWh,0 kWh,"82,000 kW",100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"1,420 bbl/day",0 bbl/day,"1,369 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,-,-,-
Tokelau,12 sq km,"1,285",-0.01%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.416,New Zealand dollars (NZD) per US dollar -,$1.5 million,-,"$1,000 ",-,-,440,-,-,-,-,-,-,-,-,-,-,-,-,-,$0 ,-,"stamps, copra, handicrafts","$969,200 ",-,"foodstuffs, building materials, fuel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 bbl,-,-,-,-,-,-,-,-,-,300,-,805
Tonga,747 sq km,"106,398",-0.10%,"21.8 births/1,000 population","4.9 deaths/1,000 population","-17.8 migrant(s)/1,000 population","124 deaths/100,000 live births","10.9 deaths/1,000 live births",76.6 years,3.03 children born/woman,5.2% of GDP,-,-,-,48.20%,1.90%,-,-,2.228,pa'anga (TOP) per US dollar -,$591 million,2.50%,"$5,900 ",-,5%,"33,800",1.10%,-,39.8% (of GDP),0% (of GDP),48% of GDP,7.40%,-,8%,$130.8 million,$130.8 million,$139.2 million,-,-$53 million,$18.4 million,"Hong Kong 25.1%, NZ 22.6%, US 14.3%, Japan 12.8%, Australia 10.5%(2017)","squash, fish, vanilla beans, root crops, kava",$250.2 million,"NZ 33.3%, Fiji 11.7%, US 9.8%, Singapore 9%, Australia 8.9%, China 7.9%, Japan 5.9%(2017)","foodstuffs, machinery and transport equipment, fuels, chemicals",$198.5 million,$189.9 million,$127.2 million,-,-,6,-,680 km,-,34,52 million kWh,48.36 million kWh,0 kWh,0 kWh,"20,300 kW",74% of total installed capacity,0% of total installed capacity,0% of total installed capacity,26% of total installed capacity,"71,800 bbl/day",0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,900 bbl/day,0 bbl/day,910 bbl/day,0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"11,000","80,000","42,552"
Togo,"56,785 sq km","8,176,449",2.61%,"32.8 births/1,000 population","6.8 deaths/1,000 population","0 migrant(s)/1,000 population","368 deaths/100,000 live births","40.8 deaths/1,000 live births",65.8 years,4.32 children born/woman,5.2% of GDP,2.10%,"110,000","4,700",8.40%,16.20%,5.1% of GDP,2.80%,617.4,Communaute Financiere Africaine francs (XOF) per US dollar -,$12.97 billion,4.40%,"$1,700 ",16.1% of GDP,5%,2.595 million,6.90%,46,21.5% (of GDP),-3.8% (of GDP),75.7% of GDP,-0.70%,2.50%,5.30%,$1.335 billion,$1.335 billion,$1.95 billion,-,-$383 million,$1.046 billion,"Benin 16.7%, Burkina Faso 15.2%, Niger 8.9%, India 7.3%, Mali 6.7%, Ghana 5.5%, Cote dIvoire 5.4%, Nigeria 4.1%(2017)","reexports, cotton, phosphates, coffee, cocoa",$1.999 billion,"China 27.5%, France 9.1%, Netherlands 4.4%, Japan 4.3%(2017)","machinery and equipment, foodstuffs, petroleum products",$77.8 million,$1.442 billion,-,-,1.86% of GDP,8,568 km,"11,652 km",50 km,308,232.6 million kWh,1.261 billion kWh,0 kWh,1.14 billion kWh,"230,000 kW",70% of total installed capacity,0% of total installed capacity,29% of total installed capacity,1% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"15,000 bbl/day",0 bbl/day,"13,100 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"36,111","6,219,981","877,310"
Sao Tome and Principe,964 sq km,"204,454",1.66%,"31.5 births/1,000 population","6.7 deaths/1,000 population","-8.3 migrant(s)/1,000 population","156 deaths/100,000 live births","44.1 deaths/1,000 live births",65.7 years,4.11 children born/woman,8.4% of GDP,-,-,-,12.40%,8.80%,3.7% of GDP,20.80%,"22,689",dobras (STD) per US dollar -,$686 million,3.90%,"$3,200 ",18.7% of GDP,5%,"72,600",12.20%,30.8,26.2% (of GDP),-2.4% (of GDP),88.4% of GDP,5.70%,16%,19.61%,$75.38 million,$75.38 million,$96.03 million,-,-$32 million,$15.6 million,"Guyana 43.7%, Germany 23.6%, Portugal 6%, Netherlands 5.5%, Poland 4.4%(2017)","cocoa 68%, copra, coffee, palm oil(2010 est.)",$127.7 million,"Portugal 54.7%, Angola 16.5%, China 5.6%(2017)","machinery and electrical equipment, food products, petroleum products",$58.95 million,$292.9 million,$469.5 million,$3.98 million,-,2,-,320 km,-,16,66 million kWh,61.38 million kWh,0 kWh,0 kWh,"18,100 kW",88% of total installed capacity,0% of total installed capacity,11% of total installed capacity,1% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"1,000 bbl/day",0 bbl/day,"1,027 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"5,569","173,646","50,000"
Tunisia,"163,610 sq km","11,516,189",0.95%,"17.4 births/1,000 population","6.4 deaths/1,000 population","-1.7 migrant(s)/1,000 population","62 deaths/100,000 live births","11.7 deaths/1,000 live births",75.9 years,2.17 children born/woman,7% of GDP,-,"3,000",-,26.90%,2.30%,6.6% of GDP,34.70%,2.48,Tunisian dinars (TND) per US dollar -,$137.7 billion,2%,"$11,900 ",12% of GDP,0.50%,4.054 million,15.50%,40,24.7% (of GDP),-5.8% (of GDP),70.3% of GDP,5.30%,5.75%,7.31%,$12.92 billion,$12.92 billion,$36.19 billion,$8.887 billion,-$4.191 billion,$13.82 billion,"France 32.1%, Italy 17.3%, Germany 12.4%(2017)","clothing, semi-finished goods and textiles, agricultural products, mechanical goods, phosphates and chemicals, hydrocarbons, electrical equipment",$19.09 billion,"Italy 15.8%, France 15.1%, China 9.2%, Germany 8.1%, Turkey 4.8%, Algeria 4.7%, Spain 4.5%(2017)","textiles, machinery and equipment, hydrocarbons, chemicals, foodstuffs",$5.594 billion,$30.19 billion,$37.95 billion,$285 million,2.03% of GDP,29,"2,173 km","19,418 km",-,62,18.44 billion kWh,15.27 billion kWh,500 million kWh,134 million kWh,5.768 million kW,94% of total installed capacity,0% of total installed capacity,1% of total installed capacity,5% of total installed capacity,"49,170 bbl/day","39,980 bbl/day","17,580 bbl/day",425 million bbl,"27,770 bbl/day","102,000 bbl/day","13,660 bbl/day","85,340 bbl/day",1.274 billion cu m,5.125 billion cu m,0 cu m,3.851 billion cu m,65.13 billion cu m,"1,113,168","14,334,080","5,665,242"
Timor-Leste,"14,874 sq km","1,321,929",2.32%,"32.9 births/1,000 population","5.8 deaths/1,000 population","-3.9 migrant(s)/1,000 population","215 deaths/100,000 live births","33.9 deaths/1,000 live births",68.7 years,4.67 children born/woman,1.5% of GDP,-,-,-,3.80%,37.70%,7.5% of GDP,21.80%,-,-,$7.426 billion,-4.60%,"$6,000 ",-,2%,"286,700",4.40%,31.9,10.8% (of GDP),-75.7% (of GDP),3.8% of GDP,0.60%,-,13.29%,$563.3 million,$563.3 million,-$213 million,-,-$284 million,$16.7 million,-,"oil, coffee, sandalwood, marblenote: potential for vanilla exports",$681.2 million,-,"food, gasoline, kerosene, machinery",$544.4 million,$311.5 million,-,-,2.56% of GDP,6,-,"6,040 km",-,-,0 kWh,0 kWh,0 kWh,0 kWh,600 kW,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,100% of total installed capacity,"40,320 bbl/day","62,060 bbl/day",0 bbl/day,0 bbl,0 bbl/day,"3,500 bbl/day",0 bbl/day,"3,481 bbl/day",5.776 billion cu m,0 cu m,5.776 billion cu m,0 cu m,200 billion cu m,"2,364","1,546,624","318,373"
Turkey,"783,562 sq km","81,257,239",0.49%,"15.4 births/1,000 population","6 deaths/1,000 population","-4.5 migrant(s)/1,000 population","16 deaths/100,000 live births","16.9 deaths/1,000 live births",75.3 years,2 children born/woman,5.4% of GDP,-,-,-,32.10%,1.90%,4.4% of GDP,20.50%,3.628,Turkish liras (TRY) per US dollar -,$2.186 trillion,7.40%,"$27,000 ",25.5% of GDP,9.10%,31.3 million,10.90%,40.2,20.3% (of GDP),-1.5% (of GDP),28.3% of GDP,11.10%,5.25%,15.77%,$119.4 billion,$119.4 billion,$610.4 billion,$188.9 billion,-$47.44 billion,$166.2 billion,"Germany 9.6%, UK 6.1%, UAE 5.9%, Iraq 5.8%, US 5.5%, Italy 5.4%, France 4.2%, Spain 4%(2017)","apparel, foodstuffs, textiles, metal manufactures, transport equipment",$225.1 billion,"China 10%, Germany 9.1%, Russia 8.4%, US 5.1%, Italy 4.8%(2017)","machinery, chemicals, semi-finished goods, fuels, transport equipment",$107.7 billion,$452.4 billion,$180.3 billion,$47.44 billion,1.73% of GDP,98,"12,008 km","385,754 km","1,200 km","1,285",261.9 billion kWh,231.1 billion kWh,1.442 billion kWh,6.33 billion kWh,78.5 million kW,53% of total installed capacity,0% of total installed capacity,33% of total installed capacity,14% of total installed capacity,"245,000 bbl/day",0 bbl/day,"521,500 bbl/day",341.6 million bbl,"657,900 bbl/day","989,900 bbl/day","141,600 bbl/day","560,000 bbl/day",368.1 million cu m,53.6 billion cu m,622.9 million cu m,55.13 billion cu m,5.097 billion cu m,"11,308,444","77,800,170","46,838,412"
Tuvalu,26 sq km,"11,147",0.86%,"23.7 births/1,000 population","8.4 deaths/1,000 population","-6.7 migrant(s)/1,000 population",-,"28.2 deaths/1,000 live births",67.2 years,2.93 children born/woman,16.5% of GDP,-,-,-,51.60%,-,-,-,1.311,Tuvaluan dollars or Australian dollars (AUD) per US dollar -,$42 million,3.20%,"$3,800 ",-,-26.10%,"3,615",-,-,106.7% (of GDP),25.6% (of GDP),37% of GDP,4.10%,-,10.60%,-,-,-,$0 ,$2 million,"$600,000 ","US 18.2%, Bosnia and Herzegovina 17%, Fiji 14.8%, Nigeria 14.2%, Germany 8.2%, South Africa 5.9%, Colombia 5.1%(2017)","copra, fish",$20.69 billion,"Singapore 33.4%, South Korea 11.5%, Australia 10.8%, NZ 8%, Fiji 7.5%, Chile 6.1%, South Africa 5%, Japan 5%(2017)","food, animals, mineral fuels, machinery, manufactured goods",-,-,-,-,-,1,-,8 km,-,245,11.8 million kWh,-,0 kWh,0 kWh,"5,100 kW",96% of total installed capacity,0% of total installed capacity,0% of total installed capacity,-,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,-,0 bbl/day,-,0 cu m,0 cu m,0 cu m,0 cu m,-,"2,000","7,600","5,042"
Taiwan,"35,980 sq km","23,545,963",0.15%,"8.2 births/1,000 population","7.6 deaths/1,000 population","0.9 migrant(s)/1,000 population",-,"4.3 deaths/1,000 live births",80.4 years,1.13 children born/woman,-,-,-,-,-,-,-,-,30.68,New Taiwan dollars (TWD) per US dollar -,$1.189 trillion,2.90%,"$50,500 ",34.9% of GDP,3.90%,11.78 million,3.80%,33.6,16% (of GDP),-0.1% (of GDP),35.7% of GDP,1.10%,1.38%,2.63%,$560.9 billion,$560.9 billion,$880.8 billion,$851.2 billion,$82.88 billion,$349.8 billion,-,"semiconductors, petrochemicals, automobile/auto parts, ships, wireless communication equipment, flat display displays, steel, electronics, plastics, computers",$269 billion,-,"oil/petroleum, semiconductors, natural gas, coal, steel, computers, wireless communication equipment, automobiles, fine chemicals, textiles",$456.7 billion,$181.9 billion,$78.3 billion,$332.4 billion,-,37,"1,613 km","43,365 km",-,350,246.1 billion kWh,237.4 billion kWh,0 kWh,0 kWh,49.52 million kW,79% of total installed capacity,11% of total installed capacity,4% of total installed capacity,6% of total installed capacity,196 bbl/day,0 bbl/day,"846,400 bbl/day",2.38 million bbl,"924,000 bbl/day","962,400 bbl/day","349,600 bbl/day","418,300 bbl/day",237.9 million cu m,22.45 billion cu m,0 cu m,22.14 billion cu m,6.229 billion cu m,"13,565,064","28,777,408",20.601 million
Turkmenistan,"488,100 sq km","5,411,012",1.10%,"18.9 births/1,000 population","6.1 deaths/1,000 population","-1.8 migrant(s)/1,000 population","42 deaths/100,000 live births","33.1 deaths/1,000 live births",70.7 years,2.06 children born/woman,2.1% of GDP,-,-,-,18.60%,3.20%,3% of GDP,-,4.125,Turkmen manat (TMM) per US dollar -,$103.7 billion,6.50%,"$18,200 ",23.9% of GDP,1%,2.305 million,11%,40.8,14.9% (of GDP),-2.8% (of GDP),28.8% of GDP,8%,5%,19%,$1.326 billion,$12.23 billion,$28.4 billion,-,-$4.359 billion,$7.458 billion,"China 83.7%, Turkey 5.1%(2017)","gas, crude oil, petrochemicals, textiles, cotton fiber",$4.571 billion,"Turkey 24.2%, Algeria 14.4%, Germany 9.8%, China 8.9%, Russia 8%, US 6.6%(2017)","machinery and equipment, chemicals, foodstuffs",$24.91 billion,$539.4 million,$3.061 billion,-,-,26,"5,113 km","58,592 km","1,300 km",73,21.18 billion kWh,15.09 billion kWh,3.201 billion kWh,0 kWh,4.001 million kW,100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0 bbl/day,"67,790 bbl/day",0 bbl/day,600 million bbl,"191,100 bbl/day","160,000 bbl/day","53,780 bbl/day",0 bbl/day,77.45 billion cu m,39.31 billion cu m,38.14 billion cu m,0 cu m,7.504 trillion cu m,"665,000",8.575 million,"951,925"
Tanzania,"947,300 sq km","55,451,343",2.74%,"35.3 births/1,000 population","7.5 deaths/1,000 population","-0.5 migrant(s)/1,000 population","398 deaths/100,000 live births","38.7 deaths/1,000 live births",63.1 years,4.71 children born/woman,5.6% of GDP,4.50%,1.5 million,"32,000",8.40%,13.70%,3.5% of GDP,3.90%,"2,243.80",Tanzanian shillings (TZS) per US dollar -,$162.5 billion,6%,"$3,200 ",25% of GDP,12%,24.89 million,10.30%,37.6,15.2% (of GDP),-1.8% (of GDP),37% of GDP,5.30%,8.25%,17.62%,$5.002 billion,$5.002 billion,$9.045 billion,$1.803 billion,-$1.464 billion,$4.971 billion,"India 21.8%, South Africa 17.9%, Kenya 8.8%, Switzerland 6.7%, Belgium 5.9%, Democratic Republic of the Congo 5.8%, China 4.8%(2017)","gold, coffee, cashew nuts, manufactures, cotton",$7.869 billion,"India 16.5%, China 15.8%, UAE 9.2%, Saudi Arabia 7.9%, South Africa 5.1%, Japan 4.9%, Switzerland 4.4%(2017)","consumer goods, machinery and transportation equipment, industrial raw materials, crude oil",$5.301 billion,$17.66 billion,-,-,1.14% of GDP,166,"4,567 km","86,472 km",-,279,6.699 billion kWh,5.682 billion kWh,0 kWh,102 million kWh,1.457 million kW,55% of total installed capacity,0% of total installed capacity,40% of total installed capacity,6% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"72,000 bbl/day",0 bbl/day,"67,830 bbl/day",3.115 billion cu m,3.115 billion cu m,0 cu m,0 cu m,6.513 billion cu m,"127,094","39,953,860","6,822,754"
Curacao,444 sq km,"150,241",0.39%,"13.7 births/1,000 population","8.5 deaths/1,000 population","-1.3 migrant(s)/1,000 population",-,"7.3 deaths/1,000 live births",78.6 years,2.03 children born/woman,-,-,-,-,-,-,4.9% of GDP,29.70%,1.79,Netherlands Antillean guilders (ANG) per US dollar -,$3.128 billion,3.60%,"$15,000 ",-,-,"73,010",13%,-,16.6% (of GDP),-0.4% (of GDP),33.2% of GDP,2.60%,-,14.50%,$1.728 billion,$4.953 billion,$3.882 billion,-,-$400 million,$555.6 billion,-,petroleum products,$540.3 billion,-,"crude petroleum, food, manufactures",$0 ,-,-,-,-,1,-,550 km,-,92,1.785 billion kWh,968 million kWh,0 kWh,0 kWh,-,-,-,-,-,0 bbl/day,0 bbl/day,"191,300 bbl/day",0 bbl,"189,800 bbl/day","70,000 bbl/day","167,500 bbl/day","45,800 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,-,-,"138,750"
Uganda,"241,038 sq km","40,853,749",3.18%,"42.4 births/1,000 population","9.9 deaths/1,000 population","-0.7 migrant(s)/1,000 population","343 deaths/100,000 live births","54.6 deaths/1,000 live births",56.3 years,5.62 children born/woman,7.2% of GDP,5.90%,1.3 million,"26,000",5.30%,10.50%,2.3% of GDP,2.60%,"3,695",Ugandan shillings (UGX) per US dollar -,$89.19 billion,4.80%,"$2,400 ",20.6% of GDP,4.40%,15.84 million,9.40%,39.5,14.5% (of GDP),-4.1% (of GDP),40% of GDP,5.60%,9%,21.28%,$2.519 billion,$2.519 billion,$4.297 billion,$7.294 billion,-$1.212 billion,$3.339 billion,"Kenya 17.7%, UAE 16.7%, Democratic Republic of the Congo 6.6%, Rwanda 6.1%, Italy 4.8%(2017)","coffee, fish and fish products, tea, cotton, flowers, horticultural products; gold",$5.036 billion,"China 17.4%, India 13.4%, UAE 12.2%, Kenya 7.9%, Japan 6.4%, Saudi Arabia 6.3%, Indonesia 4.4%, South Africa 4.1%(2017)","capital equipment, vehicles, petroleum, medical supplies; cereals",$3.654 billion,$10.8 billion,$541 million,-,1.57% of GDP,47,"1,244 km","20,544 km",-,1,3.463 billion kWh,3.106 billion kWh,121 million kWh,50 million kWh,1.02 million kW,19% of total installed capacity,0% of total installed capacity,68% of total installed capacity,12% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,2.5 billion bbl,0 bbl/day,"32,000 bbl/day",0 bbl/day,"31,490 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,14.16 billion cu m,"262,286","24,948,878","18,148,923"
United Kingdom,"243,610 sq km","65,105,246",0.51%,"12 births/1,000 population","9.4 deaths/1,000 population","2.5 migrant(s)/1,000 population","9 deaths/100,000 live births","4.2 deaths/1,000 live births",80.9 years,1.88 children born/woman,9.1% of GDP,-,-,-,27.80%,-,5.6% of GDP,13%,0.7836,British pounds (GBP) per US dollar -,$2.925 trillion,1.70%,"$44,300 ",13.6% of GDP,3.40%,33.5 million,4.40%,32.4,39.1% (of GDP),-1.9% (of GDP),87.5% of GDP,2.70%,0.25%,4.38%,$110.9 billion,$110.9 billion,$3.22 trillion,$3.019 trillion,-$99.21 billion,$441.2 billion,"US 13.2%, Germany 10.5%, France 7.4%, Netherlands 6.2%, Ireland 5.6%, China 4.8%, Switzerland 4.5%(2017)","manufactured goods, fuels, chemicals; food, beverages, tobacco",$615.9 billion,"Germany 13.7%, US 9.5%, China 9.3%, Netherlands 8%, France 5.4%, Belgium 5%(2017)","manufactured goods, machinery, fuels; foodstuffs",$150.8 billion,$8.126 trillion,$2.078 trillion,$2.11 trillion,2.2% of GDP,460,"16,837 km","394,428 km","3,200 km","1,551",318.2 billion kWh,309.2 billion kWh,2.153 billion kWh,19.7 billion kWh,97.06 million kW,50% of total installed capacity,9% of total installed capacity,2% of total installed capacity,39% of total installed capacity,"910,500 bbl/day","710,600 bbl/day","907,100 bbl/day",2.069 billion bbl,1.29 million bbl/day,1.584 million bbl/day,"613,800 bbl/day","907,500 bbl/day",42.11 billion cu m,79.17 billion cu m,11.27 billion cu m,47 billion cu m,176 billion cu m,"33,140,662","79,173,658","61,064,454"
United States Pacific Island Wildlife Refuges,"6,959.41 sq km",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ukraine,"603,550 sq km","43,952,299",0.04%,"10.1 births/1,000 population","14.3 deaths/1,000 population","0 migrant(s)/1,000 population","24 deaths/100,000 live births","7.7 deaths/1,000 live births",72.4 years,1.55 children born/woman,7.1% of GDP,0.90%,"240,000","9,000",24.10%,-,5.9% of GDP,23%,26.71,hryvnia (UAH) per US dollar -,$369.6 billion,2.50%,"$8,800 ",18.9% of GDP,3.10%,17.99 million,9.20%,25.5,26.6% (of GDP),-1.5% (of GDP),71% of GDP,14.40%,22%,16.38%,$21.92 billion,$21.92 billion,$63.63 billion,$20.71 billion,-$2.088 billion,$39.69 billion,"Russia 9.2%, Poland 6.5%, Turkey 5.6%, India 5.5%, Italy 5.2%, China 4.6%, Germany 4.3%(2017)","ferrous and nonferrous metals, fuel and petroleum products, chemicals, machinery and transport equipment, foodstuffs",$49.06 billion,"Russia 14.5%, China 11.3%, Germany 11.2%, Poland 7%, Belarus 6.7%, US 5.1%(2017)","energy, machinery and equipment, chemicals",$18.81 billion,$130 billion,$67.22 billion,$7.59 billion,3.5% of GDP,187,"21,733 km","169,694 km","1,672 km",419,153.6 billion kWh,133.2 billion kWh,3.591 billion kWh,77 million kWh,57.28 million kW,65% of total installed capacity,23% of total installed capacity,8% of total installed capacity,3% of total installed capacity,"29,650 bbl/day",413 bbl/day,"4,720 bbl/day",395 million bbl,"63,670 bbl/day","233,000 bbl/day","1,828 bbl/day","167,000 bbl/day",19.73 billion cu m,30.92 billion cu m,0 cu m,12.97 billion cu m,1.104 trillion cu m,"7,186,579","55,714,733","23,202,067"
United States,"9,833,517 sq km","329,256,465",0.80%,"12.4 births/1,000 population","8.2 deaths/1,000 population","3.9 migrant(s)/1,000 population","14 deaths/100,000 live births","5.7 deaths/1,000 live births",80.1 years,1.87 children born/woman,17.1% of GDP,-,-,-,36.20%,0.50%,5% of GDP,9.20%,-,-,$19.49 trillion,2.20%,"$59,800 ",18.9% of GDP,2.30%,160.4 million,4.40%,45,17% (of GDP),-3.4% (of GDP),78.8% of GDP,2.10%,0.50%,4.10%,$3.512 trillion,$3.512 trillion,$21.59 trillion,$25.07 trillion,-$449.1 billion,$1.553 trillion,"Canada 18.3%, Mexico 15.7%, China 8.4%, Japan 4.4%(2017)","agricultural products (soybeans, fruit, corn) 9.2%, industrial supplies (organic chemicals) 26.8%, capital goods (transistors, aircraft, motor vehicle parts, computers, telecommunications equipment) 49.0%, consumer goods (automobiles, medicines) 15.0%(2008 est.)",$2.361 trillion,"China 21.6%, Mexico 13.4%, Canada 12.8%, Japan 5.8%, Germany 5%(2017)","agricultural products 4.9%, industrial supplies 32.9% (crude oil 8.2%), capital goods 30.4% (computers, telecommunications equipment, motor vehicle parts, office machines, electric power machinery), consumer goods 31.8% (automobiles, clothing, medicines, furniture, toys)(2008 est.)",$123.3 billion,$17.91 trillion,$4.08 trillion,$5.711 trillion,3.29% of GDP,"13,513","293,564 km","6,586,610 km","41,009 km","3,611",4.095 trillion kWh,3.902 trillion kWh,9.695 billion kWh,72.72 billion kWh,1.087 billion kW,70% of total installed capacity,9% of total installed capacity,7% of total installed capacity,14% of total installed capacity,9.352 million bbl/day,1.158 million bbl/day,7.969 million bbl/day,-,20.3 million bbl/day,19.96 million bbl/day,5.218 million bbl/day,2.175 million bbl/day,772.8 billion cu m,767.6 billion cu m,89.7 billion cu m,86.15 billion cu m,0 cu m,119.902 million,395.881 million,"246,809,221"
